Time_s,Temperature_C,Humidity_%,Pressure_hPa,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s
25.001,23.10,34.99,1005.99,0.8230,0.0600,-0.5964,43.2214,32.7786,1.3511
25.101,23.10,34.96,1005.97,1.1052,0.1526,-0.8960,60.4809,-5.8321,16.5878
25.201,23.10,34.93,1005.99,0.9111,-0.0930,-0.2764,-35.1832,-54.1679,-116.4275
25.301,23.11,34.91,1006.00,0.8120,-0.1211,-0.7336,-0.3817,-25.4809,-38.2290
25.401,23.11,34.88,1005.98,0.8127,-0.0856,-0.7612,-39.7557,6.2061,-34.1603
25.501,23.11,34.87,1005.99,0.7993,0.0356,-0.6658,-74.7099,61.2901,45.6641
25.601,23.11,34.84,1005.99,0.8386,0.0327,-0.6633,2.5802,1.4809,1.9618
25.701,23.10,34.82,1005.98,0.8660,0.0271,-0.6389,1.4198,10.5573,0.9618
Time_s,Temperature_C,Humidity_%,Pressure_hPa,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s
0.001,23.14,40.27,1005.94,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.101,23.18,40.24,1005.95,0.0493,-0.0581,0.9534,-0.4809,-0.4351,-0.9618
0.201,23.21,40.20,1005.91,0.0549,-0.0647,0.9451,0.3817,-2.9771,-3.7099
0.301,23.23,40.17,1005.92,0.0537,-0.0810,0.9644,-0.7099,-0.7557,-4.8168
0.401,23.25,40.13,1005.91,0.0380,-0.0734,0.9570,-1.2443,2.4656,0.7252
0.501,23.26,40.10,1005.92,0.0441,-0.0803,0.9424,-1.1527,-0.0076,3.8092
0.601,23.27,40.07,1005.89,0.0583,-0.0752,0.9448,-0.4275,0.6641,0.4122
0.701,23.28,40.05,1005.91,0.0600,-0.0737,0.9446,-9.0687,-2.0763,1.4122
0.801,23.28,40.04,1005.94,0.0454,-0.0788,0.9536,0.6947,5.6565,1.4351
0.901,23.29,40.04,1005.93,0.0400,-0.0754,0.9470,5.0000,2.7328,0.4046
1.001,23.30,40.02,1005.93,0.0293,-0.0415,0.9712,1.4656,4.9466,0.9542
